IBOV - Carteira do Dia 24/03/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;466.135.796;0,528;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,372;
ASAI3;ASSAI;ON      NM;1.338.601.375;0,406;
AURE3;AUREN;ON      NM;318.338.365;0,143;
AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,293;
AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,651;
AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,246;
AZZA3;AZZAS 2154;ON      NM;132.447.688;0,138;
B3SA3;B3;ON      NM;5.196.371.458;3,396;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,808;
BBDC3;BRADESCO;ON      N1;1.467.570.789;0,913;
BBDC4;BRADESCO;PN      N1;5.106.488.516;3,674;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,209;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,579;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,107;
BRAV3;BRAVA;ON      NM;462.883.017;0,307;
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,938;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,402;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,092;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,898;
COGN3;COGNA ON;ON      NM;1.914.692.857;0,215;
CSMG3;COPASA;ON  EJ  NM;188.467.895;0,391;
CPLE3;COPEL;ON      NM;1.709.534.925;0,994;
CSAN3;COSAN;ON      NM;1.802.521.475;0,365;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,335;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,305;
CURY3;CURY S/A;ON      NM;160.988.231;0,214;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,264;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,047;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,174;
EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;2,117;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,685;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,818;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,434;
EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,958;
FLRY3;FLEURY;ON      NM;447.150.822;0,263;
GGBR4;GERDAU;PN      N1;1.263.524.206;0,861;
GOAU4;GERDAU MET;PN      N1;830.615.826;0,256;
HAPV3;HAPVIDA;ON  ATZ NM;287.507.905;0,103;
HYPE3;HYPERA;ON      NM;329.017.784;0,286;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,219;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,173;
ISAE4;ISA ENERGIA;PN  ED  N1;395.801.044;0,425;
ITSA4;ITAUSA;PN  EJ  N1;5.970.522.444;3,068;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,144;
KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,567;
RENT3;LOCALIZA;ON      NM;977.042.684;1,740;
RENT4;LOCALIZA;PN      NM;37.577.993;0,064;
LREN3;LOJAS RENNER;ON      NM;981.927.306;0,582;
MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,124;
POMO4;MARCOPOLO;PN      N2;727.730.867;0,169;
MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,551;
BEEF3;MINERVA;ON      NM;439.073.587;0,066;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,589;
MRVE3;MRV;ON  ATZ NM;374.670.758;0,109;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,382;
NATU3;NATURA;ON      NM;838.359.453;0,314;
PETR3;PETROBRAS;ON      N2;2.943.171.983;5,647;
PETR4;PETROBRAS;PN  ATZ N2;4.410.960.450;7,687;
RECV3;PETRORECSA;ON      NM;274.630.892;0,136;
PRIO3;PETRORIO;ON      NM;762.017.253;1,903;
PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,337;
RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,156;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,608;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,779;
SBSP3;SABESP;ON  EJB NM;622.445.665;3,595;
SANB11;SANTANDER BR;UNT;360.347.199;0,411;
CSNA3;SID NACIONAL;ON;727.975.012;0,180;
SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,154;
SMFT3;SMART FIT;ON  EJ  NM;467.471.342;0,336;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,198;
TAEE11;TAESA;UNT     N2;218.568.234;0,351;
VIVT3;TELEF BRASIL;ON;738.065.812;1,131;
TIMS3;TIM;ON  EJ  NM;804.628.136;0,816;
TOTS3;TOTVS;ON      NM;533.980.424;0,709;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,112;
USIM5;USIMINAS;PNA     N1;515.117.999;0,129;
VALE3;VALE;ON      NM;3.688.870.616;10,823;
VAMO3;VAMOS;ON      NM;448.052.066;0,059;
VBBR3;VIBRA;ON      NM;1.192.531.648;1,380;
VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,124;
WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,659;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,109;
Quantidade Teórica Total;;;91.261.531.350;100,000
Redutor;;;14.517.562,06140503
